Job_Title,Experience_Level,avg_total_compensation
"Administrative Team Lead","11 - 20 years",25000.000000
"Administrative Technician","11 - 20 years",57200.000000
"Administrative Technician ","11 - 20 years",81000.000000
"Administrative Technician III","11 - 20 years",40367.000000
Administrator,"31 - 40 years",104000.000000
Administrator,"11 - 20 years",65671.428571
Administrator,"21 - 30 years",62451.400000
Administrator,"5-7 years",55507.000000
Administrator,"8 - 10 years",41150.000000
Administrator,"2 - 4 years",34625.000000
"Administrator ","11 - 20 years",57500.000000
"Administrator ","2 - 4 years",55000.000000
"Administrator ","5-7 years",52234.000000
"Administrator ","8 - 10 years",24000.000000
"Administrator (Director)","11 - 20 years",125000.000000
"Administrator III","11 - 20 years",65000.000000
"Administrator IV","11 - 20 years",89000.000000
"Adminitrative Assistant","5-7 years",54500.000000
"Adminstration Specialist","1 year or less",1641.000000
Admission,"11 - 20 years",48000.000000
"Admission Counselor","8 - 10 years",58000.000000
"Admission Director","11 - 20 years",105000.000000
"Admission Prospect Data Specialist","5-7 years",36000.000000
Admissions,"21 - 30 years",37000.000000
"Admissions & Financial Aid Counselor","11 - 20 years",65000.000000
"Admissions Advisor","1 year or less",52500.000000
"Admissions Advisor","8 - 10 years",51033.333333
"admissions communications","21 - 30 years",50000.000000
"Admissions Coordinator","11 - 20 years",39500.000000
"Admissions Coordinator","5-7 years",36000.000000
"Admissions Coordinator ","2 - 4 years",45000.000000
"Admissions Coordinator ","11 - 20 years",34132.000000
"Admissions Counselor","2 - 4 years",39000.000000
"Admissions Manager","5-7 years",50000.000000
"Admissions Operations Assistant","5-7 years",32240.000000
"Admissions Rep","21 - 30 years",165000.000000
"Admissions Representative","2 - 4 years",35500.000000
"Admissions Specialist","11 - 20 years",40000.000000
"Admitting ","5-7 years",44000.000000
"Adolescent Social Worker","8 - 10 years",65500.000000
"Adoptions Client Care Supervisor ","8 - 10 years",50419.000000
"Ads operation specialist","1 year or less",65000.000000
"Adult Education Coordinator","11 - 20 years",42000.000000
"Adult Public Services Manager","21 - 30 years",60000.000000
"Adult Services ","5-7 years",30680.000000
"Adult Services Librarian","2 - 4 years",55120.000000
"Adult Services Librarian","11 - 20 years",49666.666667
"Adult Services Librarian","5-7 years",48140.000000
"Adult Services Librarian","8 - 10 years",44700.000000
"Adult Services Manager","21 - 30 years",76000.000000
"Adult Services Manager","8 - 10 years",52000.000000
"Advanced Analytical Chemist ","5-7 years",37500.000000
"Advanced Analytics Developer","11 - 20 years",105000.000000
"Advanced EMT","21 - 30 years",40475.000000
"Advanced Geophysicist ","11 - 20 years",46500.000000
"Advanced Lead Engineer","11 - 20 years",103000.000000
"Advanced Product Development Engineer","2 - 4 years",68000.000000
"Advanced Program Manager","11 - 20 years",120000.000000
"Advanced Research Associate","5-7 years",55000.000000
"Advanced Scientist","11 - 20 years",155000.000000
"Advanced Specialist Speech and Language Therapist","8 - 10 years",40894.000000
"Advanced Systems Administrator","11 - 20 years",140000.000000
"Advancement Accounting Assistant","8 - 10 years",40575.000000
"advancement coordinator","2 - 4 years",47000.000000
"Advancement Research","11 - 20 years",56000.000000
"Advertising Account Executive","5-7 years",34200.000000
"Advertising and Events Manager","11 - 20 years",78800.000000
"Advice Caseworker","11 - 20 years",25000.000000
"Advice worker","11 - 20 years",23000.000000
"Advising Dean","11 - 20 years",72500.000000
"Advising Dean","5-7 years",70000.000000
Advisor,"11 - 20 years",108000.000000
Advisor,"2 - 4 years",50000.000000
Advisor,"5-7 years",35000.000000
"Advisor ","5-7 years",73750.000000
"Advisor Associate","2 - 4 years",77000.000000
"Advisor Internal Digital communication systems","21 - 30 years",80000.000000
"Advisor to a minister","8 - 10 years",63600.000000
"Advisor, Disease and Vector Control","1 year or less",70000.000000
"Advisory analyst","2 - 4 years",59500.000000
